                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0545,                 4.1957,                 1.2396,                0.00709,                0.22054,                0.02795,                0.00719,                0.99813,                 4.0907,                 1.2347,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                0.91459,                 4.0324,                 1.1347,                0.01802,                0.48747,                0.04466,                0.02775,                0.84953,                 3.9438,                 1.0378,             5.7733e-05,             5.7733e-05,             5.7733e-05
                      3,                0.77651,                 3.7675,                 1.0264,                0.02493,                0.64129,                0.14261,                0.10495,                0.75483,                 3.7889,                0.91761,             8.9816e-05,             8.9816e-05,             8.9816e-05
                      4,                0.70251,                 3.3451,                0.97239,                0.03329,                0.85095,                0.28606,                0.22189,                0.56396,                 3.5973,                0.84711,             0.00012124,             0.00012124,             0.00012124
                      5,                0.70695,                 3.0423,                0.94246,                0.03586,                0.92917,                0.33661,                0.26616,                0.59454,                 3.4533,                0.85554,               0.000152,               0.000152,               0.000152
                      6,                0.65151,                 2.6924,                0.92542,                0.03822,                0.98333,                0.37924,                0.29722,                0.64228,                 3.2391,                 0.8429,             0.00018211,             0.00018211,             0.00018211
                      7,                0.67215,                 2.4076,                0.94954,                0.78751,                 0.1553,                0.41957,                0.34899,                0.52032,                 3.0558,                0.81737,             0.00021155,             0.00021155,             0.00021155
                      8,                0.66503,                 2.2105,                 0.9538,                0.74641,                0.18479,                0.42111,                0.35928,                0.48838,                 2.9751,                 0.8172,             0.00024033,             0.00024033,             0.00024033
                      9,                0.59984,                 2.0252,                0.92002,                 0.7715,                0.30558,                 0.4375,                  0.376,                 0.4874,                 2.9452,                0.83179,             0.00026846,             0.00026846,             0.00026846
                     10,                0.62334,                 1.8929,                0.92158,                0.83808,                0.29749,                0.54122,                0.47915,                  0.498,                 2.8726,                0.85271,             0.00029592,             0.00029592,             0.00029592
                     11,                0.60745,                  1.682,                 0.9375,                0.69121,                0.36406,                0.60102,                0.53097,                0.49095,                 2.7212,                0.84213,             0.00032273,             0.00032273,             0.00032273
                     12,                0.57926,                 1.5092,                0.92343,                0.72272,                0.41115,                0.60728,                0.54953,                 0.5103,                 2.5494,                0.85548,             0.00034887,             0.00034887,             0.00034887
                     13,                0.59233,                 1.4506,                0.89399,                0.78228,                0.40341,                0.63123,                0.55631,                0.53944,                 2.4704,                0.87631,             0.00037436,             0.00037436,             0.00037436
                     14,                0.57991,                 1.3302,                0.89269,                0.76229,                0.39192,                0.64663,                0.57357,                0.52132,                 2.3282,                0.86916,             0.00039919,             0.00039919,             0.00039919
                     15,                0.58055,                  1.285,                 0.9137,                0.84823,                0.51757,                0.72372,                 0.6448,                0.51488,                 1.9419,                0.86874,             0.00042335,             0.00042335,             0.00042335
                     16,                0.57933,                 1.2289,                0.90591,                0.85826,                  0.601,                0.75097,                0.67167,                0.49841,                 1.7267,                0.86691,             0.00044686,             0.00044686,             0.00044686
                     17,                0.53231,                 1.1367,                0.88498,                0.82636,                0.63761,                0.78186,                0.70498,                0.44903,                 1.5967,                0.85164,             0.00046971,             0.00046971,             0.00046971
                     18,                0.53499,                 1.0629,                0.90649,                0.87044,                 0.6765,                0.84456,                0.75679,                0.48338,                 1.5947,                0.86335,             0.00049189,             0.00049189,             0.00049189
                     19,                0.53742,                 1.0871,                0.87681,                0.83639,                0.68725,                0.85776,                0.76313,                0.48823,                  1.602,                0.86686,             0.00051342,             0.00051342,             0.00051342
                     20,                0.52152,                 1.0274,                0.86967,                0.81921,                0.71255,                 0.8651,                0.77542,                0.48672,                 1.5759,                0.89608,             0.00053429,             0.00053429,             0.00053429
                     21,                0.54434,                 1.0492,                0.89632,                0.76798,                0.66705,                0.81571,                0.72467,                0.47761,                 1.5989,                0.87777,             0.00055449,             0.00055449,             0.00055449
                     22,                0.52555,                 1.0051,                0.86573,                0.68325,                0.77419,                0.84495,                0.74811,                0.50245,                   1.51,                0.87993,             0.00057404,             0.00057404,             0.00057404
                     23,                0.52121,                0.95921,                 0.8704,                 0.8046,                0.86485,                0.92275,                0.83045,                0.48662,                 1.3592,                0.88625,             0.00059293,             0.00059293,             0.00059293
                     24,                0.50644,                0.92411,                0.85895,                0.90483,                0.89435,                0.94083,                0.85645,                 0.4616,                 1.1779,                0.87835,             0.00061116,             0.00061116,             0.00061116
                     25,                0.52299,                0.89751,                0.88387,                0.89471,                0.87884,                0.95205,                0.86959,                0.44813,                 1.0439,                0.88313,             0.00062873,             0.00062873,             0.00062873
                     26,                0.52498,                0.89132,                0.87748,                0.83436,                0.88047,                0.95359,                0.86754,                0.44802,                 1.0755,                0.88731,             0.00062683,             0.00062683,             0.00062683
                     27,                 0.5026,                 0.8593,                0.86519,                0.82142,                0.83904,                0.95009,                0.86829,                0.43508,                 1.0833,                0.88488,             0.00061859,             0.00061859,             0.00061859
                     28,                0.46401,                0.77502,                0.87061,                0.87815,                0.90002,                0.95359,                0.87003,                0.43511,                0.99114,                0.88387,             0.00061034,             0.00061034,             0.00061034
                     29,                0.48917,                0.80403,                0.85231,                0.84264,                0.95488,                0.96064,                0.85283,                0.44574,                 0.8699,                0.87154,             0.00060209,             0.00060209,             0.00060209
                     30,                0.47666,                0.75246,                0.86277,                0.78326,                    0.9,                0.91583,                 0.8204,                0.41217,                0.83375,                0.87242,             0.00059385,             0.00059385,             0.00059385
                     31,                0.47738,                0.77325,                0.86333,                0.77698,                    0.9,                0.93182,                0.84385,                0.40302,                0.78667,                0.87036,              0.0005856,              0.0005856,              0.0005856
                     32,                0.48395,                0.78656,                0.88234,                0.84889,                0.97231,                0.97348,                0.88223,                0.41355,                0.75404,                 0.8715,             0.00057735,             0.00057735,             0.00057735
                     33,                0.46404,                0.77487,                0.85308,                 0.7843,                0.98242,                 0.9691,                0.88535,                0.39343,                 0.7346,                0.86015,             0.00056911,             0.00056911,             0.00056911
                     34,                0.43651,                 0.7131,                0.84531,                0.82673,                0.95661,                0.94761,                0.85865,                0.38431,                0.72764,                 0.8624,             0.00056086,             0.00056086,             0.00056086
                     35,                0.45705,                  0.776,                 0.8563,                 0.8653,                0.94203,                0.97349,                0.87848,                 0.3759,                0.74947,                0.86065,             0.00055261,             0.00055261,             0.00055261
                     36,                0.42956,                0.72607,                0.85921,                0.90646,                 0.8406,                0.93423,                0.85284,                0.41465,                0.77098,                 0.8729,             0.00054437,             0.00054437,             0.00054437
                     37,                0.48546,                0.71756,                0.85389,                0.83419,                0.95386,                 0.9402,                0.85384,                0.40562,                0.76505,                0.86182,             0.00053612,             0.00053612,             0.00053612
                     38,                0.46294,                0.74635,                0.85631,                0.90354,                0.95554,                0.96106,                 0.8844,                0.38731,                0.74577,                0.86132,             0.00052787,             0.00052787,             0.00052787
                     39,                0.44589,                0.71566,                0.86986,                0.89563,                0.95738,                0.94874,                0.86721,                0.38458,                0.74011,                0.87227,             0.00051963,             0.00051963,             0.00051963
                     40,                0.49108,                0.77599,                0.85102,                0.90663,                0.83866,                0.89495,                0.82212,                0.38034,                0.74265,                0.87867,             0.00051138,             0.00051138,             0.00051138
                     41,                0.43099,                0.72964,                0.85742,                0.89792,                 0.8392,                0.89508,                 0.8191,                0.37431,                0.71123,                0.86221,             0.00050313,             0.00050313,             0.00050313
                     42,                0.43893,                0.68785,                0.86202,                0.87606,                 0.8817,                0.89568,                0.81399,                 0.3712,                0.68328,                0.85791,             0.00049489,             0.00049489,             0.00049489
                     43,                 0.4439,                0.67737,                0.84418,                0.91711,                0.87434,                0.91864,                0.84312,                 0.3913,                0.66869,                0.86289,             0.00048664,             0.00048664,             0.00048664
                     44,                0.41918,                0.68784,                0.84643,                0.90088,                0.96842,                 0.9507,                0.87153,                0.39543,                0.64302,                0.86299,             0.00047839,             0.00047839,             0.00047839
                     45,                0.41894,                0.65936,                0.84438,                0.90926,                0.97133,                0.95273,                0.87595,                0.36005,                0.60861,                 0.8579,             0.00047015,             0.00047015,             0.00047015
                     46,                0.41104,                0.66539,                0.84721,                0.91171,                0.97014,                0.95259,                0.87282,                0.35505,                0.59686,                0.85741,              0.0004619,              0.0004619,              0.0004619
                     47,                0.41633,                0.66529,                0.84516,                0.90143,                0.97164,                0.95183,                 0.8751,                0.36549,                0.60286,                0.85808,             0.00045365,             0.00045365,             0.00045365
                     48,                0.44169,                0.62971,                  0.844,                0.91039,                0.86862,                0.91666,                0.84205,                0.36842,                 0.6282,                0.86056,             0.00044541,             0.00044541,             0.00044541
                     49,                0.43011,                0.62056,                 0.8413,                 0.9168,                0.86962,                0.89357,                0.81431,                0.38021,                0.65972,                0.86298,             0.00043716,             0.00043716,             0.00043716
                     50,                0.43941,                0.63246,                 0.8449,                0.86693,                0.88683,                0.89305,                0.81537,                0.37057,                0.68469,                0.86126,             0.00042891,             0.00042891,             0.00042891
                     51,                0.39507,                0.66047,                0.85429,                0.87226,                0.89039,                0.89697,                0.83138,                0.36094,                0.64915,                0.85636,             0.00042066,             0.00042066,             0.00042066
                     52,                0.38156,                0.60316,                0.83523,                 0.8732,                0.89263,                0.89309,                0.82327,                 0.3683,                0.62675,                0.86307,             0.00041242,             0.00041242,             0.00041242
                     53,                0.44993,                0.61571,                0.84263,                0.86887,                0.89475,                0.89197,                 0.8258,                0.36484,                0.62081,                0.87018,             0.00040417,             0.00040417,             0.00040417
                     54,                0.38316,                0.58833,                 0.8322,                0.87445,                0.89538,                0.90204,                0.82905,                0.35069,                0.59609,                0.86678,             0.00039592,             0.00039592,             0.00039592
                     55,                0.40564,                0.59526,                 0.8383,                0.87855,                0.89572,                0.92819,                 0.8483,                0.35484,                0.59158,                0.86812,             0.00038768,             0.00038768,             0.00038768
                     56,                0.40248,                0.60398,                0.83417,                0.88886,                0.98269,                0.96985,                0.88336,                0.37015,                0.58928,                0.86977,             0.00037943,             0.00037943,             0.00037943
                     57,                0.37098,                0.59898,                0.83894,                0.89585,                0.98819,                0.96985,                0.88372,                0.35378,                0.58957,                0.85939,             0.00037118,             0.00037118,             0.00037118
                     58,                0.37036,                0.56931,                0.83004,                0.89657,                0.98436,                0.96985,                0.89469,                0.33371,                 0.5892,                0.84717,             0.00036294,             0.00036294,             0.00036294
                     59,                0.37593,                0.60875,                0.84735,                0.90145,                0.97762,                0.97537,                0.90316,                0.33921,                0.57736,                0.84374,             0.00035469,             0.00035469,             0.00035469
                     60,                0.38213,                0.57797,                0.83701,                0.89717,                0.97917,                0.97271,                0.89695,                0.35571,                0.56647,                0.84679,             0.00034644,             0.00034644,             0.00034644
                     61,                0.36667,                0.56839,                0.82704,                0.89299,                0.97917,                0.96618,                0.89085,                0.35226,                0.54598,                 0.8526,              0.0003382,              0.0003382,              0.0003382
                     62,                 0.3957,                0.62759,                0.83753,                0.89588,                 0.9786,                0.96134,                0.89066,                 0.3412,                0.53034,                0.84988,             0.00032995,             0.00032995,             0.00032995
                     63,                0.35986,                0.57973,                0.84402,                0.89819,                0.97917,                 0.9611,                0.89152,                0.34001,                0.52461,                0.84814,              0.0003217,              0.0003217,              0.0003217
                     64,                0.37695,                0.56999,                0.83361,                0.89088,                0.97917,                0.96025,                0.89267,                0.33512,                0.53358,                0.84919,             0.00031346,             0.00031346,             0.00031346
                     65,                0.38078,                0.59951,                0.84755,                0.88616,                0.97762,                0.96033,                0.89961,                0.32845,                 0.5459,                 0.8509,             0.00030521,             0.00030521,             0.00030521
                     66,                0.36404,                0.57428,                0.82235,                0.86955,                0.95064,                0.96067,                0.89443,                0.34712,                0.56422,                0.85313,             0.00029696,             0.00029696,             0.00029696
                     67,                0.37953,                0.58439,                0.82375,                0.86369,                 0.8125,                0.96193,                0.89461,                0.36013,                0.58739,                0.85777,             0.00028872,             0.00028872,             0.00028872
                     68,                0.37791,                0.55999,                0.84452,                0.93734,                0.78228,                0.93515,                0.86836,                 0.3375,                0.58731,                 0.8503,             0.00028047,             0.00028047,             0.00028047
                     69,                0.39598,                0.56893,                0.84833,                0.90784,                 0.8125,                 0.9384,                0.86523,                0.31933,                0.58446,                0.84592,             0.00027222,             0.00027222,             0.00027222
                     70,                0.36968,                 0.5717,                0.84337,                0.87261,                 0.8125,                0.93549,                 0.8652,                0.32581,                0.57622,                0.84578,             0.00026398,             0.00026398,             0.00026398
                     71,                0.42055,                0.60483,                 0.8323,                0.87328,                 0.8125,                0.96185,                 0.8906,                0.33244,                 0.5684,                0.84774,             0.00025573,             0.00025573,             0.00025573
                     72,                0.37192,                0.55013,                0.83225,                0.87919,                 0.8125,                0.95957,                0.89881,                 0.3243,                0.56133,                0.84493,             0.00024748,             0.00024748,             0.00024748
                     73,                0.35418,                0.55867,                0.83325,                0.87987,                 0.8125,                0.96177,                0.89153,                0.32578,                 0.5616,                0.84611,             0.00023924,             0.00023924,             0.00023924
                     74,                0.36373,                0.57941,                0.83637,                 0.8806,                0.90747,                0.96193,                0.88954,                0.33397,                0.55104,                0.84801,             0.00023099,             0.00023099,             0.00023099
                     75,                0.37233,                0.55863,                0.82513,                 0.8825,                0.95053,                0.96373,                0.89314,                0.33344,                0.52901,                0.84815,             0.00022274,             0.00022274,             0.00022274
                     76,                0.34647,                0.54443,                0.83088,                 0.8871,                0.96744,                0.96477,                 0.8935,                0.32883,                0.50865,                0.84812,              0.0002145,              0.0002145,              0.0002145
                     77,                0.35707,                0.55427,                0.81896,                0.89064,                 0.9691,                0.96404,                0.89442,                0.32709,                0.50092,                0.84803,             0.00020625,             0.00020625,             0.00020625
                     78,                0.35579,                0.54896,                0.82734,                0.89167,                0.96994,                0.96404,                0.89467,                0.32645,                0.50182,                0.84827,               0.000198,               0.000198,               0.000198
                     79,                0.35534,                0.54086,                0.82517,                0.89031,                0.96991,                0.96147,                 0.8953,                0.32082,                0.50422,                0.84659,             0.00018976,             0.00018976,             0.00018976
                     80,                0.34585,                0.52578,                0.81945,                0.88804,                0.96978,                0.96113,                0.88928,                0.31713,                0.50133,                0.84471,             0.00018151,             0.00018151,             0.00018151
                     81,                0.34957,                0.53074,                0.82891,                0.88682,                0.96967,                0.96228,                0.89139,                0.31794,                0.49643,                0.84614,             0.00017326,             0.00017326,             0.00017326
                     82,                0.35509,                0.53314,                0.83834,                0.88681,                0.96973,                 0.9682,                0.89573,                  0.317,                0.48934,                0.84548,             0.00016502,             0.00016502,             0.00016502
                     83,                0.34697,                0.54774,                0.82547,                0.88662,                0.96976,                0.97132,                0.89609,                0.31596,                0.48222,                0.84433,             0.00015677,             0.00015677,             0.00015677
                     84,                 0.3518,                0.52272,                0.83853,                0.88638,                0.96966,                0.97277,                0.89338,                0.31877,                 0.4775,                0.84453,             0.00014852,             0.00014852,             0.00014852
                     85,                0.33649,                0.50094,                0.82216,                0.88717,                0.97023,                0.97132,                0.89658,                 0.3182,                0.47643,                0.84419,             0.00014028,             0.00014028,             0.00014028
                     86,                0.34073,                 0.5055,                0.83194,                0.88914,                0.97037,                0.97132,                0.89654,                0.31669,                0.47435,                0.84245,             0.00013203,             0.00013203,             0.00013203
                     87,                0.35334,                 0.5457,                0.83289,                0.89148,                 0.9703,                0.97132,                0.89875,                0.31493,                0.47628,                0.84127,             0.00012378,             0.00012378,             0.00012378
                     88,                0.33352,                0.49137,                0.82402,                0.89313,                0.97027,                 0.9701,                0.90576,                0.31401,                0.47758,                0.84037,             0.00011554,             0.00011554,             0.00011554
                     89,                0.34173,                0.52138,                0.83828,                0.89737,                0.97046,                 0.9701,                0.91051,                0.31145,                0.47963,                0.83842,             0.00010729,             0.00010729,             0.00010729
                     90,                0.33841,                0.52022,                0.83348,                0.89425,                0.97052,                0.96908,                0.90503,                0.30849,                0.48294,                0.83792,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.28122,                0.43244,                0.80402,                0.89648,                0.97081,                0.96744,                0.90851,                0.30682,                0.48362,                0.83832,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.27464,                0.45324,                0.79023,                0.89458,                0.97055,                0.96677,                0.90554,                0.31081,                0.49326,                0.84186,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.27362,                0.42383,                0.79044,                0.89332,                0.97022,                0.96618,                0.90289,                0.31082,                0.49998,                0.84198,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.26769,                0.42269,                0.80413,                0.89215,                0.96989,                0.96618,                0.90386,                0.31171,                0.50513,                0.84077,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.27819,                0.43573,                0.81517,                0.89186,                0.96982,                0.96566,                0.90377,                0.31292,                0.50937,                  0.841,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.26211,                 0.4255,                0.79777,                0.89086,                0.96994,                0.96519,                0.90491,                0.31135,                0.51379,                0.84058,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.27468,                 0.4224,                0.80202,                0.88957,                0.97016,                0.96519,                 0.9051,                0.30998,                0.51609,                0.84156,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.26012,                0.42211,                0.80528,                0.88842,                0.97054,                0.96519,                0.90399,                0.30908,                0.51491,                0.84168,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.26657,                0.41763,                0.79272,                 0.8884,                0.97071,                0.96618,                0.90419,                0.30867,                 0.5119,                 0.8409,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.27269,                0.42724,                0.79753,                0.88858,                0.97108,                0.96677,                0.90432,                0.30861,                0.50779,                0.83921,             1.6577e-05,             1.6577e-05,             1.6577e-05
